"grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","game_date","htm","vtm","shot_made_numeric","shot_value","season","season_type"
"Shot Chart Detail","0040500131","28","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,20.5,20.25,1,"missed",2006-04-22,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","32","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","13","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.3,5.15,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","34","2544","LeBron James","1610612739","Cleveland Cavaliers","1","8","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",22,3.3,27.45,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","54","2544","LeBron James","1610612739","Cleveland Cavaliers","1","5","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,1,26.75,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","82","2544","LeBron James","1610612739","Cleveland Cavaliers","1","1","55","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,-14.6,25.95,1,"made",2006-04-22,"CLE","WAS",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","85","2544","LeBron James","1610612739","Cleveland Cavaliers","1","1","42","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1.3,5.15,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","105","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","49","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",14,-14,1.15,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","117","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,-2.9,26.65,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","174","2544","LeBron James","1610612739","Cleveland Cavaliers","2","6","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,17.7,22.55,1,"missed",2006-04-22,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","197","2544","LeBron James","1610612739","Cleveland Cavaliers","2","3","36","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-2.3,5.75,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","201","2544","LeBron James","1610612739","Cleveland Cavaliers","2","3","18","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,4.35,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","202","2544","LeBron James","1610612739","Cleveland Cavaliers","2","3","15","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1.1,4.65,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","215","2544","LeBron James","1610612739","Cleveland Cavaliers","2","2","1","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1,4.75,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","226","2544","LeBron James","1610612739","Cleveland Cavaliers","2","0","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",18,-17.7,9.85,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","235","2544","LeBron James","1610612739","Cleveland Cavaliers","3","11","33","Made Shot","Driving Finger Roll Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.8,5.25,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","304","2544","LeBron James","1610612739","Cleveland Cavaliers","3","3","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",20,-20.2,2.35,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","316","2544","LeBron James","1610612739","Cleveland Cavaliers","3","2","58","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.1,5.25,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","328","2544","LeBron James","1610612739","Cleveland Cavaliers","3","1","41","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-6.6,9.25,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","352","2544","LeBron James","1610612739","Cleveland Cavaliers","4","10","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",19,18.9,1.05,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","357","2544","LeBron James","1610612739","Cleveland Cavaliers","4","9","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",19,-19.4,1.15,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","365","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.6,5.45,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","415","2544","LeBron James","1610612739","Cleveland Cavaliers","4","4","44","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.3,5.55,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","443","2544","LeBron James","1610612739","Cleveland Cavaliers","4","2","16","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,4.35,1,"made",2006-04-22,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","452","2544","LeBron James","1610612739","Cleveland Cavaliers","4","1","42","Missed Shot","Finger Roll Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.6,5.45,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","463","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","57","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,0.8,30.55,1,"missed",2006-04-22,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","473","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",18,-18.2,2.65,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500131","476","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","14","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,6.05,1,"missed",2006-04-22,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","18","2544","LeBron James","1610612739","Cleveland Cavaliers","1","10","1","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,11.8,5.25,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","23","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,6.1,28.95,1,"made",2006-04-25,"CLE","WAS",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","42","2544","LeBron James","1610612739","Cleveland Cavaliers","1","7","40","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.3,5.25,1,"made",2006-04-25,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","50","2544","LeBron James","1610612739","Cleveland Cavaliers","1","7","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,-9,27.75,1,"missed",2006-04-25,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","109","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,2.6,20.55,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","133","2544","LeBron James","1610612739","Cleveland Cavaliers","2","11","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",21,20,12.85,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","147","2544","LeBron James","1610612739","Cleveland Cavaliers","2","9","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0,4.15,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","170","2544","LeBron James","1610612739","Cleveland Cavaliers","2","7","8","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1.3,5.55,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","174","2544","LeBron James","1610612739","Cleveland Cavaliers","2","6","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.6,4.95,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","227","2544","LeBron James","1610612739","Cleveland Cavaliers","2","2","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.8,5.45,1,"made",2006-04-25,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","260","2544","LeBron James","1610612739","Cleveland Cavaliers","2","0","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1,5.25,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","277","2544","LeBron James","1610612739","Cleveland Cavaliers","3","11","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.1,5.15,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","319","2544","LeBron James","1610612739","Cleveland Cavaliers","3","6","55","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.8,5.45,1,"made",2006-04-25,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","326","2544","LeBron James","1610612739","Cleveland Cavaliers","3","6","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",20,1.3,26.15,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","336","2544","LeBron James","1610612739","Cleveland Cavaliers","3","5","9","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0.8,4.65,1,"made",2006-04-25,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","434","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",19,-13.1,20.35,1,"made",2006-04-25,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","440","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,-1,29.55,1,"missed",2006-04-25,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","446","2544","LeBron James","1610612739","Cleveland Cavaliers","4","7","34","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0,4.15,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","447","2544","LeBron James","1610612739","Cleveland Cavaliers","4","7","31","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0.8,5.95,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","467","2544","LeBron James","1610612739","Cleveland Cavaliers","4","5","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2.5,4.35,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","472","2544","LeBron James","1610612739","Cleveland Cavaliers","4","5","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,1.8,11.85,1,"missed",2006-04-25,"CLE","WAS",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","477","2544","LeBron James","1610612739","Cleveland Cavaliers","4","4","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",37,21.7,35.55,1,"missed",2006-04-25,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","496","2544","LeBron James","1610612739","Cleveland Cavaliers","4","2","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",21,-19.2,14.95,1,"made",2006-04-25,"CLE","WAS",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","498","2544","LeBron James","1610612739","Cleveland Cavaliers","4","2","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,-19.7,20.25,1,"missed",2006-04-25,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500132","590","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,13.8,27.65,1,"missed",2006-04-25,"CLE","WAS",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","47","2544","LeBron James","1610612739","Cleveland Cavaliers","1","6","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.3,4.95,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","72","2544","LeBron James","1610612739","Cleveland Cavaliers","1","4","5","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,4.4,4.75,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","97","2544","LeBron James","1610612739","Cleveland Cavaliers","1","2","24","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1,4.95,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","107","2544","LeBron James","1610612739","Cleveland Cavaliers","1","1","30","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.3,5.45,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","113","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",21,-12,22.55,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","131","2544","LeBron James","1610612739","Cleveland Cavaliers","2","10","56","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,14.1,3.15,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","136","2544","LeBron James","1610612739","Cleveland Cavaliers","2","10","29","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,-24.1,1.35,1,"made",2006-04-28,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","143","2544","LeBron James","1610612739","Cleveland Cavaliers","2","9","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",15,14.8,2.65,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","146","2544","LeBron James","1610612739","Cleveland Cavaliers","2","8","52","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.5,5.25,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","171","2544","LeBron James","1610612739","Cleveland Cavaliers","2","6","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,6.7,7.25,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","182","2544","LeBron James","1610612739","Cleveland Cavaliers","2","5","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,21.7,20.05,1,"missed",2006-04-28,"WAS","CLE",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","190","2544","LeBron James","1610612739","Cleveland Cavaliers","2","5","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",20,-4.4,25.15,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","196","2544","LeBron James","1610612739","Cleveland Cavaliers","2","4","17","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.3,5.25,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","219","2544","LeBron James","1610612739","Cleveland Cavaliers","2","1","41","Made Shot","Follow Up Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.5,4.95,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","221","2544","LeBron James","1610612739","Cleveland Cavaliers","2","1","24","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.6,5.55,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","258","2544","LeBron James","1610612739","Cleveland Cavaliers","3","8","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,18.2,2.45,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","295","2544","LeBron James","1610612739","Cleveland Cavaliers","3","5","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1.8,5.45,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","312","2544","LeBron James","1610612739","Cleveland Cavaliers","3","4","15","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,6.7,8.75,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","327","2544","LeBron James","1610612739","Cleveland Cavaliers","3","2","15","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,0.8,12.35,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","362","2544","LeBron James","1610612739","Cleveland Cavaliers","4","10","8","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,23.3,16.25,1,"made",2006-04-28,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","375","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,10.8,2.15,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","377","2544","LeBron James","1610612739","Cleveland Cavaliers","4","8","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,5.7,3.95,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","381","2544","LeBron James","1610612739","Cleveland Cavaliers","4","7","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,-18.6,22.35,1,"made",2006-04-28,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","432","2544","LeBron James","1610612739","Cleveland Cavaliers","4","3","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,-14.3,27.45,1,"missed",2006-04-28,"WAS","CLE",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","452","2544","LeBron James","1610612739","Cleveland Cavaliers","4","1","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.5,5.25,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","463","2544","LeBron James","1610612739","Cleveland Cavaliers","4","1","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",17,15.5,12.55,1,"missed",2006-04-28,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","480","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1,4.65,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500133","488","2544","LeBron James","1610612739","Cleveland Cavaliers","4","0","5","Made Shot","Jump Bank Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,3.9,5.45,1,"made",2006-04-28,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","17","2544","LeBron James","1610612739","Cleveland Cavaliers","1","9","22","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,21.5,16.25,1,"made",2006-04-30,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","22","2544","LeBron James","1610612739","Cleveland Cavaliers","1","8","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",22,17.2,20.35,1,"missed",2006-04-30,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","43","2544","LeBron James","1610612739","Cleveland Cavaliers","1","6","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,22.7,16.45,1,"made",2006-04-30,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","45","2544","LeBron James","1610612739","Cleveland Cavaliers","1","6","17","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",22,18.7,17.45,1,"made",2006-04-30,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","80","2544","LeBron James","1610612739","Cleveland Cavaliers","1","2","57","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,10.5,28.25,1,"made",2006-04-30,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","82","2544","LeBron James","1610612739","Cleveland Cavaliers","1","2","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,13,26.45,1,"made",2006-04-30,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","84","2544","LeBron James","1610612739","Cleveland Cavaliers","1","2","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1,5.25,1,"made",2006-04-30,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","99","2544","LeBron James","1610612739","Cleveland Cavaliers","1","0","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,-22.8,18.55,1,"missed",2006-04-30,"WAS","CLE",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","123","2544","LeBron James","1610612739","Cleveland Cavaliers","2","10","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",16,-15.6,10.05,1,"missed",2006-04-30,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","139","2544","LeBron James","1610612739","Cleveland Cavaliers","2","9","47","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",14,-7.5,17.75,1,"missed",2006-04-30,"WAS","CLE",0,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","147","2544","LeBron James","1610612739","Cleveland Cavaliers","2","8","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.8,4.75,1,"made",2006-04-30,"WAS","CLE",1,2,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","160","2544","LeBron James","1610612739","Cleveland Cavaliers","2","6","5","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,-18.4,22.05,1,"made",2006-04-30,"WAS","CLE",1,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","170","2544","LeBron James","1610612739","Cleveland Cavaliers","2","4","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,17.4,25.35,1,"missed",2006-04-30,"WAS","CLE",0,3,"2005-06","Playoffs"
"Shot Chart Detail","0040500134","189","2544","LeBron James","1610612739","Cleveland Cavaliers","2","2","51","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.8,4.95,1,"made",2006-04-30,"WAS","CLE",1,2,"2005-06","Playoffs"
